generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
31,31421197.48677645,135579979.25513417,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.013190412399325,1.723267487206924,31.78,8.0,74.0
32,31421197.48677645,140016457.90287971,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9991484571722059,1.723267487206924,32.82,8.0,74.0
33,31421197.48677645,129765960.62429966,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0225546848985902,1.723267487206924,30.76,8.0,74.0
34,31421197.48677645,127908730.11540297,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0237204232853867,1.723267487206924,30.3,8.0,74.0
35,31421197.48677645,135231797.34830526,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0184894987984598,1.723267487206924,31.86,8.0,74.0
36,31421197.48677645,129900791.88411215,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0275303076514575,1.723267487206924,30.8,8.0,74.0
37,31421197.48677645,129510502.2741699,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0285012346886906,1.723267487206924,30.6,8.0,74.0
38,31421197.48677645,129248659.21206556,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.027147327058173,1.723267487206924,30.52,8.0,74.0
39,31421197.48677645,133988568.32779053,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.016997143096241,1.723267487206924,31.56,8.0,74.0
40,31421197.48677645,136398610.39619875,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,1.0113213145347046,1.723267487206924,32.0,8.0,74.0
41,31421197.48677645,137612942.252482,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9904498436097748,1.723267487206924,32.24,8.0,74.0
42,31421197.48677645,137638178.98460302,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9978514039827684,1.723267487206924,32.28,8.0,74.0
43,31421197.48677645,136060686.6923109,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9945388548148655,1.723267487206924,31.9,8.0,74.0
44,31421197.48677645,137719496.74901447,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9934868643434711,1.723267487206924,32.3,8.0,74.0
45,31421197.48677645,138740183.79146314,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9879816007079989,1.723267487206924,32.44,8.0,74.0
46,31421197.48677645,142567490.714885,326261796.4066911,283.55934794938275,283.5593479493828,283.55934794938275,0.7501962514443853,0.9579728892355324,1.723267487206924,33.22,8.0,74.0
47,31421197.48677645,141413875.0411023,348332830.18887955,283.55934794938275,283.5593479493828,283.55934794938275,0.7476764793863696,0.9754067881553362,1.723267487206924,33.08,8.0,78.0
48,31421197.48677645,127311132.27797605,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9741147507972571,1.723267487206924,29.9,8.0,65.0
49,31421197.48677645,128616047.01581798,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9756208670642682,1.723267487206924,30.2,8.0,65.0
50,31421197.48677645,127977025.30824053,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9800307678116544,1.723267487206924,30.04,8.0,65.0
51,31421197.48677645,129423543.55685754,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9750862858810568,1.723267487206924,30.36,8.0,65.0
52,31421197.48677645,131308091.56980424,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9762885812852186,1.723267487206924,30.74,8.0,65.0
53,31421197.48677645,126711829.04253313,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9804164346544555,1.723267487206924,29.68,8.0,65.0
54,31421197.48677645,129582875.02441749,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9702457238507511,1.723267487206924,30.3,8.0,65.0
55,31421197.48677645,128690253.42334653,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9763476962136225,1.723267487206924,30.22,8.0,65.0
56,31421197.48677645,129928444.0401537,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9738747533657134,1.723267487206924,30.48,8.0,65.0
57,31421197.48677645,120294903.75156721,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9905583802054666,1.723267487206924,28.4,8.0,65.0
58,31421197.48677645,113950410.08783895,288825737.9047829,283.55934794938275,283.5593479493828,283.55934794938275,0.7473752993955902,0.9998899924638143,1.723267487206924,27.02,8.0,65.0
